"시도","시군구","사고건수","사망자수","중상자수","경상자수","부상신고자수"
"서울","종로구",901,10,196,991,45
"서울","중구",1072,2,242,1068,130
"서울","용산구",1033,6,288,1038,47
"서울","성동구",932,5,188,922,92
"서울","동대문구",1557,8,399,1400,146
"서울","성북구",1160,7,252,1129,68
"서울","도봉구",526,6,135,502,54
"서울","은평구",1101,8,281,988,116
"서울","서대문구",741,11,205,687,86
"서울","마포구",1299,7,275,1359,96
"서울","강서구",1701,12,374,1759,172
"서울","구로구",1292,7,290,1257,159
"서울","영등포구",2051,11,451,1979,331
"서울","동작구",1280,11,298,1275,117
"서울","관악구",1138,6,270,1056,59
"서울","강남구",4023,11,719,4068,389
"서울","강동구",1483,11,380,1558,86
"서울","송파구",2336,16,527,2319,248
"서울","서초구",2148,9,449,2708,202
"서울","양천구",1296,6,308,1314,91
"서울","중랑구",1265,8,358,1138,183
"서울","노원구",1293,10,296,1272,167
"서울","광진구",888,9,180,823,89
"서울","강북구",906,6,202,838,64
"서울","금천구",887,9,228,897,73
"부산","중구",361,3,114,398,22
"부산","서구",377,3,96,394,7
"부산","동구",466,6,117,503,2
"부산","영도구",222,4,72,204,8
"부산","부산진구",1373,21,459,1217,110
"부산","동래구",734,10,222,707,48
"부산","남구",782,7,217,771,94
"부산","북구",656,5,169,643,84
"부산","해운대구",739,3,219,719,42
"부산","사하구",830,8,310,693,32
"부산","금정구",679,7,208,669,78
"부산","강서구",723,6,248,683,31
"부산","연제구",637,2,190,606,50
"부산","수영구",828,3,208,806,101
"부산","사상구",644,11,202,614,29
"부산","기장군",616,12,184,687,35
"경기","수원시",4559,28,995,4784,533
"경기","성남시",3417,19,736,3542,418
"경기","의정부시",1633,10,307,1509,383
"경기","안양시",1286,17,404,1319,73
"경기","부천시",3096,25,678,3132,378
"경기","안산시",3528,18,722,3771,506
"경기","평택시",2802,40,634,2899,669
"경기","광명시",1166,6,241,1185,150
"경기","구리시",733,8,166,767,59
"경기","양주시",1174,9,236,1305,155
"경기","여주시",550,10,167,664,45
"경기","화성시",3652,48,743,4090,637
"경기","시흥시",2093,27,426,2219,410
"경기","파주시",1574,18,450,1514,245
"경기","고양시",3250,29,778,3393,330
"경기","광주시",2010,16,371,2331,292
"경기","연천군",175,0,60,211,23
"경기","포천시",557,17,189,618,21
"경기","가평군",333,3,132,415,37
"경기","양평군",510,10,121,592,77
"경기","이천시",1066,21,244,1242,113
"경기","용인시",3454,35,793,3816,500
"경기","안성시",1120,18,281,1260,173
"경기","김포시",1829,22,402,2088,190
"경기","동두천시",354,4,84,364,25
"경기","과천시",202,0,39,221,32
"경기","군포시",425,5,140,454,47
"경기","남양주시",1933,18,494,2085,203
"경기","오산시",952,4,220,891,268
"경기","의왕시",479,4,125,552,46
"경기","하남시",1051,10,210,1160,160
"강원","춘천시",1451,17,426,1223,539
"강원","원주시",1387,16,437,1629,126
"강원","동해시",228,9,60,249,6
"강원","강릉시",669,29,192,755,20
"강원","속초시",331,3,161,342,3
"강원","태백시",252,3,49,386,28
"강원","삼척시",133,9,43,121,0
"강원","홍천군",209,12,88,235,10
"강원","횡성군",162,7,64,198,11
"강원","영월군",189,8,73,172,40
"강원","평창군",115,7,46,145,2
"강원","정선군",152,4,41,191,4
"강원","철원군",126,3,58,118,3
"강원","화천군",85,3,34,84,3
"강원","양구군",57,2,19,30,43
"강원","인제군",97,3,58,101,11
"강원","고성군",112,3,49,116,1
"강원","양양군",125,5,43,173,0
"충북","청주시",4016,47,915,4514,293
"충북","충주시",1097,12,356,1260,12
"충북","제천시",770,14,178,982,80
"충북","보은군",118,6,57,98,1
"충북","옥천군",181,7,97,144,15
"충북","영동군",120,5,63,70,7
"충북","진천군",455,8,138,521,6
"충북","괴산군",162,12,73,182,17
"충북","음성군",490,11,162,478,47
"충북","단양군",137,3,60,152,6
"충북","증평군",150,2,35,162,14
"충남","천안시",3361,34,742,3511,434
"충남","아산시",1500,22,422,1696,51
"충남","보령시",260,12,82,285,4
"충남","공주시",370,21,158,404,25
"충남","서산시",690,17,252,686,58
"충남","금산군",137,9,60,145,1
"충남","태안군",314,10,153,347,13
"충남","논산시",309,20,162,277,38
"충남","부여군",200,9,127,158,1
"충남","서천군",205,8,97,212,5
"충남","청양군",125,13,64,105,1
"충남","홍성군",310,11,90,303,10
"충남","예산군",261,12,110,251,16
"충남","당진시",844,20,209,936,21
"충남","계룡시",60,0,22,73,5
"전북","전주시",2051,33,421,2310,66
"전북","군산시",1080,16,248,1214,105
"전북","정읍시",382,15,137,371,14
"전북","남원시",171,13,94,114,2
"전북","김제시",269,12,105,282,2
"전북","완주군",266,9,97,313,2
"전북","진안군",64,6,45,58,1
"전북","무주군",76,3,32,100,4
"전북","장수군",31,2,20,24,0
"전북","임실군",107,5,53,111,5
"전북","순창군",95,2,40,116,20
"전북","고창군",92,12,38,74,1
"전북","부안군",160,8,78,137,4
"전북","익산시",728,15,186,832,18
"전남","목포시",1026,12,156,1212,41
"전남","여수시",1256,14,285,1369,70
"전남","순천시",1005,16,251,1111,39
"전남","나주시",696,20,176,871,16
"전남","광양시",632,8,144,663,122
"전남","담양군",258,8,95,344,17
"전남","곡성군",131,9,68,123,3
"전남","구례군",132,5,46,137,6
"전남","고흥군",177,10,95,133,4
"전남","보성군",149,9,58,161,2
"전남","화순군",237,7,45,289,23
"전남","장흥군",206,13,74,236,5
"전남","강진군",258,7,75,276,45
"전남","해남군",271,19,95,269,7
"전남","영암군",347,12,115,363,34
"전남","무안군",299,9,71,341,15
"전남","함평군",151,12,45,148,43
"전남","영광군",139,6,77,95,16
"전남","장성군",186,4,75,243,7
"전남","완도군",151,4,39,202,5
"전남","진도군",132,2,60,130,5
"전남","신안군",107,11,43,125,8
"경북","포항시",2234,29,588,2418,149
"경북","경주시",719,25,373,611,20
"경북","김천시",430,11,198,376,12
"경북","안동시",759,17,242,699,226
"경북","구미시",1297,20,385,1245,129
"경북","영주시",179,4,102,111,16
"경북","영천시",452,20,159,446,18
"경북","문경시",165,8,67,126,6
"경북","상주시",369,12,196,295,13
"경북","의성군",186,10,101,129,16
"경북","청송군",123,5,48,83,33
"경북","영양군",48,2,28,32,5
"경북","영덕군",192,4,81,243,8
"경북","청도군",156,7,58,172,1
"경북","고령군",68,9,23,47,5
"경북","성주군",205,10,99,192,8
"경북","칠곡군",539,17,197,606,41
"경북","예천군",189,9,97,142,11
"경북","봉화군",90,7,45,63,4
"경북","울진군",142,2,67,81,41
"경북","울릉군",20,1,6,23,0
"경북","경산시",947,21,296,927,24
"경남","진주시",731,28,353,546,29
"경남","통영시",584,5,180,646,82
"경남","김해시",1779,25,595,1754,95
"경남","밀양시",445,11,226,331,83
"경남","거제시",797,9,302,715,55
"경남","의령군",95,4,67,58,3
"경남","함안군",313,13,107,257,74
"경남","창녕군",301,10,131,251,37
"경남","양산시",1303,15,367,1097,200
"경남","고성군",194,7,78,187,9
"경남","사천시",497,10,167,486,53
"경남","남해군",170,2,125,110,36
"경남","하동군",124,10,84,102,4
"경남","산청군",137,8,74,111,19
"경남","함양군",174,10,77,118,62
"경남","거창군",202,9,92,148,13
"경남","합천군",151,6,84,61,31
"경남","창원시",3054,56,864,2809,303
"제주","제주시",2805,33,659,2766,485
"제주","서귀포시",1124,23,366,1260,184
