date,event,count
2026-09-14,visit,12
2026-09-16,js_error_d,2
2026-09-16,nearmiss_shown,9
2026-09-16,sub_sido_11,5
2026-09-16,visit,5
2026-09-16,welfare_shown,9
2026-09-16,wiz_q3,1
2026-09-16,wiz_q4,2
2026-09-16,wiz_q5,1
2026-09-16,wiz_self,5
2026-09-16,wizard_submit,5
2026-09-17,nearmiss_shown,6
2026-09-17,sub_sido_11,4
2026-09-17,visit,5
2026-09-17,welfare_shown,6
2026-09-17,wiz_q4,2
2026-09-17,wiz_q5,1
2026-09-17,wiz_self,4
2026-09-17,wizard_submit,4
2026-09-18,nearmiss_shown,6
2026-09-18,sub_sido_11,1
2026-09-18,sub_sido_41,3
2026-09-18,visit,1
2026-09-18,welfare_shown,6
2026-09-18,wiz_q2,1
2026-09-18,wiz_q4,1
2026-09-18,wiz_q5,1
2026-09-18,wiz_self,4
2026-09-18,wizard_submit,4
2026-09-19,js_error_d,1
2026-09-19,nearmiss_shown,9
2026-09-19,sub_sido_11,9
2026-09-19,visit,5
2026-09-19,welfare_shown,9
2026-09-19,wiz_q2,1
2026-09-19,wiz_q3,1
2026-09-19,wiz_q4,2
2026-09-19,wiz_q5,1
2026-09-19,wiz_self,9
2026-09-19,wizard_submit,9
2026-09-20,visit,1
