code,name,kind,sido,pop,area,dens,e65,ealone,single,flood_r,ls_r,slope,coastal,border,rz_n,rz_per100,shel,shel_per10k
11110,종로구,구,서울특별시,136139,24.0,5684.1,0.2302,0.1354,0.5374,0.2455,0.0,14.62,0,0,3,12.53,107,7.86
11140,중구,구,서울특별시,117493,10.1,11662.8,0.2365,0.1391,0.5377,0.2865,0.0,9.0,0,0,0,0.0,72,6.13
11170,용산구,구,서울특별시,199575,22.2,8971.4,0.2015,0.1045,0.4965,0.3561,0.0,6.46,0,0,1,4.5,65,3.26
11200,성동구,구,서울특별시,274346,16.8,16377.4,0.1993,0.1015,0.4421,0.3516,0.0,5.95,0,0,0,0.0,121,4.41
11215,광진구,구,서울특별시,330802,17.7,18720.0,0.1941,0.0944,0.5113,0.4947,0.0,6.92,0,0,0,0.0,81,2.45
11230,동대문구,구,서울특별시,353070,14.5,24269.6,0.2121,0.1156,0.4951,0.572,0.0,5.58,0,0,0,0.0,75,2.12
11260,중랑구,구,서울특별시,376282,18.0,20854.4,0.2421,0.1409,0.4646,0.1211,0.0,8.35,0,0,0,0.0,162,4.31
11290,성북구,구,서울특별시,421289,24.4,17238.6,0.2121,0.1135,0.431,0.4591,0.0,11.26,0,0,0,0.0,114,2.71
11305,강북구,구,서울특별시,277695,23.8,11690.9,0.2739,0.168,0.479,0.5564,0.0,13.97,0,0,0,0.0,77,2.77
11320,도봉구,구,서울특별시,298067,20.7,14364.9,0.2705,0.1499,0.3898,0.3612,0.0,10.74,0,0,0,0.0,96,3.22
11350,노원구,구,서울특별시,480549,35.5,13538.4,0.2236,0.1386,0.3778,0.2091,0.0,10.72,0,0,0,0.0,178,3.7
11380,은평구,구,서울특별시,453056,31.5,14398.2,0.2322,0.1281,0.4163,0.3936,0.0,13.97,0,0,2,6.36,111,2.45
11410,서대문구,구,서울특별시,299531,17.4,17207.3,0.2121,0.1108,0.4602,0.5053,0.0,11.8,0,0,0,0.0,116,3.87
11440,마포구,구,서울특별시,356154,24.0,14846.6,0.1774,0.088,0.4894,0.375,0.0,5.64,0,0,0,0.0,115,3.23
11470,양천구,구,서울특별시,420595,17.8,23621.6,0.2065,0.1175,0.335,0.495,0.0,6.53,0,0,1,5.62,116,2.76
11500,강서구,구,서울특별시,548268,41.5,13209.8,0.213,0.1148,0.4706,0.3771,0.0,4.12,0,0,5,12.05,160,2.92
11530,구로구,구,서울특별시,382531,20.1,18999.8,0.231,0.1192,0.4327,0.6246,0.0,7.52,0,0,0,0.0,147,3.84
11545,금천구,구,서울특별시,222421,12.6,17623.7,0.2307,0.1253,0.5399,0.5,0.0,8.73,0,0,1,7.92,71,3.19
11560,영등포구,구,서울특별시,371691,24.2,15375.9,0.1966,0.0973,0.508,0.5116,0.0,3.98,0,0,0,0.0,105,2.82
11590,동작구,구,서울특별시,371543,16.6,22354.8,0.2081,0.0972,0.4878,0.7365,0.0,8.32,0,0,0,0.0,103,2.77
11620,관악구,구,서울특별시,477503,30.1,15873.8,0.1975,0.0918,0.6397,0.484,0.0,13.7,0,0,0,0.0,158,3.31
11650,서초구,구,서울특별시,414616,47.4,8747.9,0.1791,0.0743,0.349,0.4716,0.0,10.92,0,0,5,10.55,140,3.38
11680,강남구,구,서울특별시,552631,38.3,14411.1,0.1771,0.0803,0.3991,0.4377,0.0,7.47,0,0,1,2.61,161,2.91
11710,송파구,구,서울특별시,649715,33.7,19254.0,0.1904,0.0848,0.3817,0.4008,0.0,4.65,0,0,0,0.0,124,1.91
11740,강동구,구,서울특별시,498701,24.7,20190.8,0.2029,0.1048,0.3772,0.4974,0.0,5.0,0,0,1,4.05,126,2.53
12110,목포시,시,전남광주통합특별시,199230,54.6,3648.0,0.2387,0.1778,0.4831,0.0506,0.0063,5.45,1,0,7,12.82,148,7.43
12130,여수시,시,전남광주통합특별시,249910,533.9,468.0,0.2575,0.169,0.4227,0.0138,0.0015,11.72,1,0,4,0.75,128,5.12
12150,순천시,시,전남광주통합특별시,221801,914.2,242.6,0.2455,0.1674,0.422,0.0088,0.0263,17.89,1,0,3,0.33,81,3.65
12170,나주시,시,전남광주통합특별시,116699,609.2,191.6,0.2643,0.198,0.49,0.0167,0.004,9.52,0,0,28,4.6,39,3.34
12190,광양시,시,전남광주통합특별시,155979,470.0,331.8,0.1815,0.1272,0.4183,0.0062,0.0258,16.46,1,0,21,4.47,76,4.87
12210,동구,구,전남광주통합특별시,101435,48.4,2095.3,0.2499,0.1611,0.5024,0.1271,0.0169,19.82,0,0,2,4.13,86,8.48
12240,서구,구,전남광주통합특별시,265910,47.8,5564.0,0.1988,0.1224,0.4385,0.2,0.05,5.68,0,0,2,4.18,98,3.69
12270,남구,구,전남광주통합특별시,188931,60.5,3123.6,0.2265,0.1497,0.3988,0.0921,0.0197,8.74,0,0,6,9.92,120,6.35
12300,북구,구,전남광주통합특별시,416780,120.6,3456.3,0.2086,0.1407,0.4415,0.0441,0.0919,11.08,0,0,5,4.15,146,3.5
12330,광산구,구,전남광주통합특별시,382841,222.6,1720.0,0.1374,0.095,0.3942,0.1206,0.0042,7.96,0,0,30,13.48,138,3.6
12710,담양군,군,전남광주통합특별시,43972,453.2,97.0,0.3857,0.2513,0.5024,0.0398,0.1236,15.69,0,0,22,4.85,39,8.87
12720,곡성군,군,전남광주통합특별시,27663,549.0,50.4,0.4212,0.2866,0.5575,0.0223,0.067,18.46,0,0,6,1.09,16,5.78
12730,구례군,군,전남광주통합특별시,24576,440.6,55.8,0.4158,0.2845,0.5253,0.0562,0.0461,21.51,0,0,6,1.36,14,5.7
12740,고흥군,군,전남광주통합특별시,58318,823.5,70.8,0.4813,0.3283,0.5467,0.0,0.0049,11.4,1,0,41,4.98,11,1.89
12750,보성군,군,전남광주통합특별시,36977,667.8,55.4,0.4474,0.3164,0.5542,0.0095,0.0022,15.18,1,0,15,2.25,20,5.41
12760,화순군,군,전남광주통합특별시,59420,789.6,75.3,0.3314,0.2519,0.4934,0.0063,0.0069,19.33,0,0,32,4.05,17,2.86
12770,장흥군,군,전남광주통합특별시,33906,620.3,54.7,0.4123,0.2967,0.5489,0.0,0.0093,15.89,1,0,24,3.87,31,9.14
12780,강진군,군,전남광주통합특별시,31644,503.1,62.9,0.4132,0.2961,0.5393,0.0,0.0228,13.58,1,0,10,1.99,24,7.58
12790,해남군,군,전남광주통합특별시,61992,1006.1,61.6,0.3979,0.272,0.5215,0.0277,0.0024,9.01,1,0,20,1.99,16,2.58
12800,영암군,군,전남광주통합특별시,44232,592.9,74.6,0.3551,0.2532,0.5468,0.0171,0.0,9.19,1,0,8,1.35,23,5.2
12810,무안군,군,전남광주통합특별시,63240,464.2,136.2,0.2911,0.2183,0.4769,0.0019,0.0057,6.6,1,0,17,3.66,41,6.48
12820,함평군,군,전남광주통합특별시,29651,392.0,75.6,0.4305,0.3079,0.5859,0.0,0.0061,11.11,1,0,24,6.12,18,6.07
12830,영광군,군,전남광주통합특별시,53528,497.6,107.6,0.3292,0.236,0.5133,0.0885,0.0228,9.31,1,0,29,5.83,27,5.04
12840,장성군,군,전남광주통합특별시,43130,519.5,83.0,0.3584,0.2487,0.5189,0.0129,0.0379,15.57,0,0,24,4.62,17,3.94
12850,완도군,군,전남광주통합특별시,43198,453.5,95.3,0.397,0.2704,0.5271,0.0,0.0,9.6,1,0,28,6.17,14,3.24
12860,진도군,군,전남광주통합특별시,27221,459.4,59.3,0.4036,0.2933,0.5635,0.0194,0.0018,10.11,1,0,8,1.74,22,8.08
12870,신안군,군,전남광주통합특별시,39559,850.4,46.5,0.3915,0.2428,0.5097,0.0,0.0,5.95,1,0,32,3.76,3,0.76
26110,중구,구,부산광역시,29924,3.0,9991.4,0.3507,0.2389,0.6542,0.3636,0.0,8.59,1,0,0,0.0,51,17.04
26140,서구,구,부산광역시,101028,14.1,7186.1,0.3202,0.2145,0.4941,0.1915,0.0,15.46,1,0,5,35.56,56,5.54
26170,동구,구,부산광역시,63801,9.6,6673.2,0.3071,0.2131,0.5264,0.4,0.0,10.97,1,0,2,20.92,27,4.23
