code,name,kind,sido,cluster,cluster_tag,cluster_jaccard
11110,종로구,구,서울특별시,C1,혼합·고밀·중령·침수이력↑,0.61
11140,중구,구,서울특별시,C3,혼합·고밀·젊음,0.64
11170,용산구,구,서울특별시,C1,혼합·고밀·중령·침수이력↑,0.61
11200,성동구,구,서울특별시,C3,혼합·고밀·젊음,0.64
11215,광진구,구,서울특별시,C3,혼합·고밀·젊음,0.64
11230,동대문구,구,서울특별시,C3,혼합·고밀·젊음,0.64
11260,중랑구,구,서울특별시,C3,혼합·고밀·젊음,0.64
11290,성북구,구,서울특별시,C3,혼합·고밀·젊음,0.64
11305,강북구,구,서울특별시,C3,혼합·고밀·젊음,0.64
11320,도봉구,구,서울특별시,C3,혼합·고밀·젊음,0.64
11350,노원구,구,서울특별시,C3,혼합·고밀·젊음,0.64
11380,은평구,구,서울특별시,C1,혼합·고밀·중령·침수이력↑,0.61
11410,서대문구,구,서울특별시,C3,혼합·고밀·젊음,0.64
11440,마포구,구,서울특별시,C3,혼합·고밀·젊음,0.64
11470,양천구,구,서울특별시,C1,혼합·고밀·중령·침수이력↑,0.61
11500,강서구,구,서울특별시,C1,혼합·고밀·중령·침수이력↑,0.61
11530,구로구,구,서울특별시,C3,혼합·고밀·젊음,0.64
11545,금천구,구,서울특별시,C1,혼합·고밀·중령·침수이력↑,0.61
11560,영등포구,구,서울특별시,C3,혼합·고밀·젊음,0.64
11590,동작구,구,서울특별시,C3,혼합·고밀·젊음,0.64
11620,관악구,구,서울특별시,C3,혼합·고밀·젊음,0.64
11650,서초구,구,서울특별시,C1,혼합·고밀·중령·침수이력↑,0.61
11680,강남구,구,서울특별시,C3,혼합·고밀·젊음,0.64
11710,송파구,구,서울특별시,C3,혼합·고밀·젊음,0.64
11740,강동구,구,서울특별시,C1,혼합·고밀·중령·침수이력↑,0.61
12110,목포시,시,전남광주통합특별시,C1,혼합·고밀·중령·침수이력↑,0.61
12130,여수시,시,전남광주통합특별시,C0,해안·저밀·고령,0.75
12150,순천시,시,전남광주통합특별시,C2,혼합·중밀·중령·산지,0.58
12170,나주시,시,전남광주통합특별시,C2,혼합·중밀·중령·산지,0.58
12190,광양시,시,전남광주통합특별시,C2,혼합·중밀·중령·산지,0.58
12210,동구,구,전남광주통합특별시,C2,혼합·중밀·중령·산지,0.58
12240,서구,구,전남광주통합특별시,C1,혼합·고밀·중령·침수이력↑,0.61
12270,남구,구,전남광주통합특별시,C1,혼합·고밀·중령·침수이력↑,0.61
12300,북구,구,전남광주통합특별시,C2,혼합·중밀·중령·산지,0.58
12330,광산구,구,전남광주통합특별시,C1,혼합·고밀·중령·침수이력↑,0.61
12710,담양군,군,전남광주통합특별시,C4,내륙·저밀·고령·산지,0.88
